outletRiverId,groupId
120214599,107
120219571,107
120221245,107
120226227,107
120229572,107
120231233,107
120232894,107
120234541,107
120237818,107
120244527,107
120247837,107
120249500,107
120254502,107
120257659,107
120257741,107
120261151,107
120269418,107
120269484,107
120272758,107
120272820,107
120276085,107
120277763,107
120279451,107
120281034,107
120281068,107
120281102,107
120282651,107
120284436,107
120286113,107
120289459,107
120292738,107
120296070,107
120302758,107
120305993,107
120306020,107
120307556,107
120307660,107
120310806,105
120310902,107
120310970,107
120314210,105
120317704,107
120319097,105
120319160,107
120319236,107
120319384,107
120320957,107
120320992,107
120321004,107
120321006,107
120322651,107
120324196,107
120324304,107
120325799,105
120326016,107
120326019,107
120329181,105
120332437,107
120332511,107
120334329,107
120337634,107
120337672,107
120339162,107
120340935,107
120344057,105
120344086,106
120344131,105
120344275,107
120344332,107
120347410,105
120347473,105
120347598,107
120349276,107
120350595,105
120350890,107
120350915,107
120352406,107
120352418,105
120352547,107
120353983,105
120354141,107
120354147,106
120355620,105
120357261,105
120357338,105
120357452,105
120357503,107
120358939,105
120359207,107
120360762,107
120360897,107
120362517,107
120365563,105
120365733,105
120365800,107
120365916,107
120367449,106
120368896,105
120368993,105
120369039,105
120370572,105
120370679,107
120372590,107
120373927,107
120374005,105
120374102,107
120374108,107
120377386,106
120377387,105
120377394,107
120377438,107
120377493,107
120378823,105
120379147,107
120379152,107
120380590,105
120380738,105
120380776,107
120382381,105
120382433,105
120382490,107
120385704,105
120390638,107
120390761,107
120390774,107
120390839,107
120392163,105
120392204,105
120392498,107
120394078,107
120394091,107
120395484,105
120395508,105
120397363,106
120397427,107
120398921,105
120398991,105
120400833,107
120402270,105
120402293,106
120403841,105
120403876,105
120403945,105
120403975,105
120405592,105
120405617,105
120405706,107
120407281,105
120407468,107
120408773,105
120409050,107
120409133,107
120410471,105
120410593,105
120410641,105
120410663,105
120410721,105
120412261,105
120412383,107
120413785,105
120414010,107
120414034,106
120415364,105
120415493,105
120417147,105
120417194,105
120417225,105
120417236,105
120417353,105
120418686,104
120418821,105
120418937,106
120418991,106
120419006,107
120419010,107
120419019,107
120419044,107
120420409,105
120420514,105
120420604,105
120421863,105
120422380,107
120423962,105
120423979,105
120424036,107
120425447,105
120425563,105
120425640,107
120427026,105
120427272,105
120427332,107
120427334,107
120428679,105
120428806,106
120428817,105
120428861,105
120428864,105
120429106,107
120430348,105
120430677,107
120430731,107
120432264,106
120433800,105
120433954,107
120433962,107
